data_id,balancing_method,similarity_value,resampling_ratio
1,Original,-0.2857142857142857,1
1,Oversampling,-0.5,1
1,Undersampling,-0.5714285714285714,1
1,Near miss,-0.5714285714285714,1
1,SMOTE,-0.5714285714285714,1
2,Original,-0.07807807807807808,1
2,Oversampling,-0.11711711711711711,1
2,Undersampling,-0.17717717717717718,1
2,Near miss,-0.15615615615615616,1
2,SMOTE,-0.06906906906906907,1
3,Original,-0.2012012012012012,1
3,Oversampling,-0.2822822822822823,1
3,Undersampling,-0.15915915915915915,1
3,Near miss,-0.2672672672672673,1
3,SMOTE,-0.17717717717717718,1
4,Original,-0.19999999999999996,1
4,Oversampling,-0.19999999999999996,1
4,Undersampling,-0.7999999999999998,1
4,Near miss,-0.3999999999999999,1
4,SMOTE,-0.5999999999999999,1
5,Original,-0.17560975609756097,1
5,Oversampling,-0.26097560975609757,1
5,Undersampling,-0.21707317073170732,1
5,Near miss,-0.15365853658536585,1
5,SMOTE,-0.2097560975609756,1
6,Original,-0.14661654135338345,1
6,Oversampling,-0.13659147869674185,1
6,Undersampling,-0.16416040100250623,1
6,Near miss,-0.10651629072681702,1
6,SMOTE,-0.14786967418546365,1
7,Original,-0.1331719128329298,1
7,Oversampling,-0.12605042016806725,1
7,Undersampling,-0.08531548212505342,1
7,Near miss,-0.11152257513174764,1
7,SMOTE,-0.1192137872097992,1
8,Original,-0.2083333333333333,1
8,Oversampling,-0.15909090909090906,1
8,Undersampling,-0.1212121212121212,1
8,Near miss,-0.10227272727272724,1
8,SMOTE,-0.2045454545454545,1
9,Original,-0.21575757575757576,1
9,Oversampling,-0.09292929292929292,1
9,Undersampling,-0.12848484848484848,1
9,Near miss,-0.09333333333333334,1
9,SMOTE,-0.06545454545454546,1
10,Original,-0.19999999999999996,1
10,Oversampling,-0.9999999999999998,1
10,Undersampling,-0.9999999999999998,1
10,Near miss,-0.19999999999999996,1
10,SMOTE,-0.19999999999999996,1
11,Original,-0.41818181818181815,1
11,Oversampling,-0.23636363636363636,1
11,Undersampling,-0.2727272727272727,1
11,Near miss,-0.4545454545454546,1
11,SMOTE,-0.38181818181818183,1
12,Original,-0.35714285714285715,1
12,Oversampling,-0.7142857142857143,1
12,Undersampling,-0.5714285714285714,1
12,Near miss,-0.5714285714285714,1
12,SMOTE,-0.5,1
13,Original,-0.5714285714285714,1
13,Oversampling,-0.35714285714285715,1
13,Undersampling,-0.3333333333333333,1
13,Near miss,0.21428571428571427,1
13,SMOTE,-0.35714285714285715,1
14,Original,-0.05349324195697697,1
14,Oversampling,-0.12507138777841234,1
14,Undersampling,-0.01618122977346278,1
14,Near miss,-0.09537407195888065,1
14,SMOTE,-0.08775937559489816,1
15,Original,-0.09473684210526316,1
15,Oversampling,-0.16842105263157897,1
15,Undersampling,-0.31578947368421056,1
15,Near miss,-0.12631578947368424,1
15,SMOTE,-0.16842105263157897,1
16,Original,-0.2761904761904762,1
16,Oversampling,-0.0380952380952381,1
16,Undersampling,-0.20000000000000004,1
16,Near miss,-0.3619047619047619,1
16,SMOTE,-0.2571428571428572,1
17,Original,-0.23809523809523817,1
17,Oversampling,-0.5333333333333334,1
17,Undersampling,-0.3238095238095239,1
17,Near miss,-0.28571428571428575,1
17,SMOTE,-0.4095238095238096,1
18,Original,0.15555555555555556,1
18,Oversampling,-0.1111111111111111,1
18,Undersampling,-0.02222222222222222,1
18,Near miss,-0.15555555555555556,1
18,SMOTE,0.02222222222222222,1
19,Original,-0.2,1
19,Oversampling,-0.3333333333333333,1
19,Undersampling,-0.3333333333333333,1
19,Near miss,-0.06666666666666667,1
19,SMOTE,-0.06666666666666667,1
20,Original,-0.1431924882629108,1
20,Oversampling,-0.14241001564945227,1
20,Undersampling,-0.06259780907668232,1
20,Near miss,-0.12519561815336464,1
20,SMOTE,-0.11267605633802816,1
21,Original,-0.28571428571428575,1
21,Oversampling,-0.2666666666666667,1
21,Undersampling,0,1
21,Near miss,-0.18095238095238095,1
21,SMOTE,-0.2285714285714286,1
1,Original,0.14285714285714285,1.05
1,Oversampling,-0.42857142857142855,1.05
1,Undersampling,-0.42857142857142855,1.05
1,Near miss,0.35714285714285715,1.05
1,SMOTE,-0.6428571428571429,1.05
2,Original,-0.14714714714714713,1.05
2,Oversampling,-0.01501501501501501,1.05
