"data_id","imbalanced_ratio","balancing_method","resampling_ratio","rashomon_set_size","obscurity","discrepancy"
1,129.53125,"Original",1,3,0,0
1,1.01221001221001,"Oversampling",1,38,0.0811509964230963,0.451456310679612
1,1.06666666666667,"Undersampling",1,8,0.182692307692308,0.461538461538462
1,1,"Near miss",1,9,0.222222222222222,0.571428571428571
1,1,"SMOTE",1,34,0.138260129142127,0.762364294330519
1,129.53125,"Original",1.05,3,0,0
1,1.06118791602663,"Oversampling",1.05,36,0.102886405959032,0.733705772811918
1,1.09375,"Undersampling",1.05,1,0,0
1,1.03125,"Near miss",1.05,2,0.392857142857143,0.785714285714286
1,1.05016468203699,"SMOTE",1.05,31,0.123449898321305,0.604449938195303
1,129.53125,"Original",1.1,3,0,0
1,1.11215454789375,"Oversampling",1.1,35,0.125496598639456,0.615238095238095
1,1.09375,"Undersampling",1.1,6,0.178571428571429,0.357142857142857
1,1.09375,"Near miss",1.1,2,0.214285714285714,0.428571428571429
1,1.10005307855626,"SMOTE",1.1,36,0.0997929388643224,0.835123183828174
1,129.53125,"Original",1.15,3,0,0
1,1.16334549536907,"Oversampling",1.15,36,0.112137916126243,0.695201037613489
1,1.125,"Undersampling",1.15,5,0.12,0.266666666666667
1,1.09375,"Near miss",1.15,2,0.214285714285714,0.428571428571429
1,1.10005307855626,"SMOTE",1.15,36,0.0997929388643224,0.835123183828174
1,129.53125,"Original",1.2,3,0,0
1,1.21234279028956,"Oversampling",1.2,35,0.100170068027211,0.642195767195767
1,1.1875,"Undersampling",1.2,2,0.25,0.5
1,1.09375,"Near miss",1.2,2,0.214285714285714,0.428571428571429
1,1.10005307855626,"SMOTE",1.2,36,0.0997929388643224,0.835123183828174
1,129.53125,"Original",1.25,3,0,0
1,1.26102829327654,"Oversampling",1.25,38,0.0650550384030014,0.499663752521856
1,1.21875,"Undersampling",1.25,22,0.260606060606061,0.6
1,1.25,"Near miss",1.25,20,0.115384615384615,0.230769230769231
1,1.25,"SMOTE",1.25,23,0.177264249912577,0.733243967828418
2,9.68286445012788,"Original",1,38,0.0349619568634849,1
2,1.01229946524064,"Oversampling",1,13,0.0630810092961491,0.139442231075697
2,1.02088772845953,"Undersampling",1,30,0.0851612903225806,0.651612903225806
2,1,"Near miss",1,43,0.107835876166494,0.528662420382166
2,1,"SMOTE",1,15,0.0837843784378435,0.162376237623762
2,9.68286445012788,"Original",1.05,38,0.0349619568634849,1
2,1.06258770698849,"Oversampling",1.05,11,0.195043569618689,0.972807613868117
2,1.07416879795396,"Undersampling",1.05,19,0.158863416209235,0.54601226993865
2,1.04859335038363,"Near miss",1.05,40,0.537267080745342,0.68944099378882
2,1.0502080443828,"SMOTE",1.05,16,0.0721348884381335,0.160243407707911
2,9.68286445012788,"Original",1.1,38,0.0349619568634849,1
2,1.11352941176471,"Oversampling",1.1,14,0.0980528511821983,0.168289290681502
2,1.1227621483376,"Undersampling",1.1,23,0.093985941161156,0.844311377245509
2,1.0997442455243,"Near miss",1.1,19,0.0976076555023923,0.575757575757576
2,1.10026155187446,"SMOTE",1.1,15,0.140848317196865,0.795297372060857
2,9.68286445012788,"Original",1.15,38,0.0349619568634849,1
2,1.16277641277641,"Oversampling",1.15,14,0.0956940222897672,0.18936170212766
2,1.17391304347826,"Undersampling",1.15,23,0.142384947876939,0.181286549707602
2,1.0997442455243,"Near miss",1.15,19,0.0976076555023923,0.575757575757576
2,1.10026155187446,"SMOTE",1.15,15,0.140848317196865,0.795297372060857
