"data_id","balancing_method","imbalanced_ratio","resampling_ratio","rashomon_set_size","auc","f1","bacc","obscurity","discrepancy"
1,"Original",129.53125,1,3,0.803679131483716,NA,0.5,0,0
1,"Oversampling",1.01221001221001,1,38,1,0.999389871873093,0.998793727382388,0.0811509964230963,0.451456310679612
1,"Undersampling",1.06666666666667,1,8,0.821428571428571,0.714285714285714,0.702380952380952,0.182692307692308,0.461538461538462
1,"Near miss",1,1,9,0.795918367346939,0.666666666666667,0.642857142857143,0.222222222222222,0.571428571428571
1,"SMOTE",1,1,34,0.99958529831602,0.986219292989814,0.978287092882992,0.138260129142127,0.762364294330519
2,"Original",9.68286445012788,1,38,0.854789419191076,NA,0.608379813633479,0,0
2,"Oversampling",1.01229946524064,1,13,0.997556368433677,0.957637997432606,0.947159002723181,0.102886405959032,0.733705772811918
2,"Undersampling",1.02088772845953,1,30,0.874625374625374,0.839080459770115,0.812271062271062,0,0
2,"Near miss",1,1,43,0.831142486205777,NA,0.796900357026939,0.392857142857143,0.785714285714286
2,"SMOTE",1,1,15,0.989276863608955,0.939016393442623,0.92674004803017,0.123449898321305,0.604449938195303
3,"Original",6.07213578500707,1,39,0.90961484857926,NA,0.873878896194396,0,0
3,"Oversampling",1.0125,1,22,0.999614239901596,0.990064289888954,0.985440645111692,0.125496598639456,0.615238095238095
3,"Undersampling",1.02020202020202,1,20,0.903158324404306,0.858208955223881,0.860987805500281,0.178571428571429,0.357142857142857
3,"Near miss",1,1,31,0.930826091299571,0.885714285714286,0.886899410648287,0.214285714285714,0.428571428571429
3,"SMOTE",1,1,33,0.995034429670923,0.975467289719626,0.970314318975553,0.0997929388643224,0.835123183828174
4,"Original",4.16856600189934,1,22,0.767148382256098,NA,NA,0,0
4,"Oversampling",1.01315941359806,1,9,0.95331824150518,0.88622754491018,NA,0.112137916126243,0.695201037613489
4,"Undersampling",1.00477783086479,1,37,0.752787248550973,0.702325581395349,NA,0.12,0.266666666666667
4,"Near miss",1,1,41,0.741202656270275,0.697833523375142,NA,0.214285714285714,0.428571428571429
4,"SMOTE",1,1,16,0.932744258539548,0.864686468646865,NA,0.0997929388643224,0.835123183828174
5,"Original",5.46932515337423,1,27,0.834712672947966,NA,NA,0,0
5,"Oversampling",1.00791407574901,1,14,0.982943318970648,0.933518005540166,NA,0.100170068027211,0.642195767195767
5,"Undersampling",1.0251572327044,1,40,0.821141098484848,0.791666666666667,NA,0.25,0.5
5,"Near miss",1,1,23,0.807226107226107,0.755555555555556,NA,0.214285714285714,0.428571428571429
5,"SMOTE",1,1,20,0.971469486671073,0.918539325842697,NA,0.0997929388643224,0.835123183828174
6,"Original",1.8438995215311,1,34,0.938251587623295,NA,NA,0,0
6,"Oversampling",1.01173188940848,1,17,0.975351755560585,0.931836734693878,NA,0.0650550384030014,0.499663752521856
6,"Undersampling",1.01103552532124,1,35,0.923545284481289,0.853395061728395,NA,0.260606060606061,0.6
6,"Near miss",1,1,33,0.936680295107736,0.861693861693862,NA,0.115384615384615,0.230769230769231
6,"SMOTE",1,1,20,0.953396677176854,0.886433394720687,NA,0.177264249912577,0.733243967828418
7,"Original",42.0115384615385,1,21,0.971462031558189,NA,0.815018315018315,0.0349619568634849,1
7,"Oversampling",1.01477146042363,1,36,0.995936541396365,0.986410496719775,0.986563386296317,0.0630810092961491,0.139442231075697
7,"Undersampling",1.07438016528926,1,45,0.984575320512821,0.962264150943396,0.959134615384615,0.0851612903225806,0.651612903225806
7,"Near miss",1,1,24,0.956176035502959,0.92,0.913461538461538,0.107835876166494,0.528662420382166
7,"SMOTE",1,1,39,0.99443005507079,0.979421965317919,0.979402834008097,0.0837843784378435,0.162376237623762
8,"Original",14.8375,1,14,0.92546052631579,NA,0.5,0.0349619568634849,1
8,"Oversampling",1.00593220338983,1,36,1,0.992639327024185,NA,0.195043569618689,0.972807613868117
8,"Undersampling",1.04575163398693,1,24,0.921354166666667,0.875,0.5,0.158863416209235,0.54601226993865
8,"Near miss",1,1,13,0.900390625,0.852941176470588,0.5,0.537267080745342,0.68944099378882
8,"SMOTE",1,1,20,0.998386703601108,0.981288981288981,0.5,0.0721348884381335,0.160243407707911
9,"Original",13.4025974025974,1,16,0.805797101449275,NA,NA,0.0349619568634849,1
9,"Oversampling",1.0078125,1,19,0.999905738187817,0.995145631067961,NA,0.0980528511821983,0.168289290681502
9,"Undersampling",1.05479452054795,1,2,0.808888888888889,0.823529411764706,NA,0.093985941161156,0.844311377245509
9,"Near miss",1,1,3,0.841666666666667,0.842105263157895,NA,0.0976076555023923,0.575757575757576
9,"SMOTE",1,1,19,0.994746963088035,0.978208232445521,NA,0.140848317196865,0.795297372060857
10,"Original",8.76875,1,21,0.902455357142858,NA,NA,0.0349619568634849,1
10,"Oversampling",1.0129963898917,1,19,0.999065239814337,0.971929824561403,NA,0.0956940222897672,0.18936170212766
10,"Undersampling",1.04575163398693,1,24,0.829166666666667,0.840579710144927,NA,0.142384947876939,0.181286549707602
10,"Near miss",1,1,17,0.884765625,0.845070422535211,NA,0.0976076555023923,0.575757575757576
